Timestamp,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,Y1,Y2
11/9/2020,275.9110851,438.9227474,714.374102,7.411405105,6.722944752,8.972540912,30.33030691,91.08446502,29.4888196,1.1,7.91,30.32001184,15.5,91.08177147,1,91.08422521,0.92775116,438.954879,8.972923403,116.6342518,487.3143241,8.2,7.91,0.49
11/10/2020,268.3415738,413.6318565,799.0314325,7.178810127,6.792455169,6.785859072,30.51223629,90.6742616,29.10534662,1.1,7.71,30.52151519,15.5,90.67351624,1,90.67279219,0.949887295,413.6628692,6.785492827,-205.7369198,473.5031646,7.92,7.71,0.41
11/11/2020,295.1271537,405.0225263,830.4780779,7.087995789,6.844074379,9.667610842,32.53747368,92.19515789,30.4606,1.1,7.64,32.50289474,15.5,92.11162126,1,92.11162126,0.968770215,404.8987368,9.668316126,-254.5648421,508.0993684,7.86,7.64,0.44
11/12/2020,319.3730804,190.0919643,749.728375,7.404053571,6.730323929,16.32950357,32.44017857,93.18303571,31.692475,1.1,8.03,32.52601161,15.5,93.41954554,1,93.262625,0.92588808,190.1482143,16.32785804,-264.2741071,536.6008929,8.23,8.03,0.46
11/13/2020,329.631821,268.0879913,759.6095546,7.225766376,6.829155917,13.01692664,34.46550218,93.96048035,32.21187162,1.1,7.98,34.49169148,15.5,93.97067838,1,94.0936845,0.960082415,268.1100437,13.01616762,-198.4181223,560.4766376,8.415,7.98,0.52
11/16/2020,611.0878265,178.5112806,446.8446095,6.756398416,6.641804775,9.723317545,45.55705441,108.4413261,46.3972465,1.099929677,4.49,46.10739163,15.5,108.3794637,1,108.3797436,0.899630673,178.5217365,9.724153184,-130.4410446,956.7940626,4.635,4.49,0.42
11/17/2020,490.3638418,141.1056962,545.8162004,6.133932489,6.693150675,7.812557405,40.92130802,102.6687764,40.36264895,1.1,3.3,40.92976414,15.5,102.6194139,1,102.6198084,0.917714719,141.0917722,7.81249365,-123.7795359,799.8360759,3.4,3.3,0.35
11/18/2020,396.6934547,156.9155789,778.6777495,5.760204211,6.642473221,12.00180613,35.70126316,97.47221053,35.61294084,1.1,3.58,35.70184232,15.5,97.58104463,1,97.58104463,0.89986352,156.9269474,11.99990381,-64.09178947,679.2581053,3.69,3.58,0.28
11/19/2020,365.6975768,184.9682105,704.0463726,7.014877895,6.494100632,16.12695709,32.56715789,95.92526316,34.04072568,1.1,4.97,32.57347137,15.5,95.91204147,1,96.00485768,0.847933562,184.9456842,16.12787794,63.28231579,638.3797895,5.205,4.97,0.32
11/20/2020,337.3289177,188.0257384,862.6498755,7.308177215,6.356483186,19.12206804,28.66919831,92.68523207,32.60361835,1.1,5.44,28.66964241,15.5,94.38788544,1,92.74488312,0.799768114,188.0297468,19.12250977,-72.71772152,605.5010549,5.77,5.44,0.46
